 Date,PM2.5,PM10,NO2,SO2,CO,Ozone,NH3
16-03-2021,43.53,65.69,30.99,52.09,1.39,10.56,12.67
17-03-2021,43.98,58.85,28.17,180.1,1.07,1.73,12.96
18-03-2021,58.71,75.3,39.48,None,1.32,0.48,16.78
19-03-2021,41.49,54.66,22.13,96.26,1.05,0.36,12
20-03-2021,52.47,65.34,24.55,78.14,0.91,0.5,13.94
21-03-2021,47.66,53.7,15.69,42.25,0.52,0.34,8.12
22-03-2021,43.22,50.8,26.37,107.91,0.73,0.51,12.11
23-03-2021,36.79,51.18,27.58,64.86,0.75,0.27,8.88
24-03-2021,44.99,64.36,34.91,97.24,0.93,0.41,13.3
25-03-2021,53.57,88.3,48.33,72.96,1.13,0.58,13.4
26-03-2021,52.4,83.87,62.02,60.4,1.4,0.41,15.09
27-03-2021,49.88,68.04,54.22,88.77,1.32,0.08,18.99
28-03-2021,52.01,76.45,59.24,104.02,1.59,0.26,17.81
29-03-2021,35.13,55.72,25.03,73.03,0.97,0.35,14
30-03-2021,None,53.76,15.25,18.11,0.77,0.5,8.38
31-03-2021,22.75,61.33,15.06,21.72,1.5,0.69,10.96
01-04-2021,32.39,87.09,14.57,33.29,1.35,0.7,16.35
02-04-2021,49.77,191.34,11.33,83.71,0.99,0.64,20.33
03-04-2021,48.46,127.4,13.94,69.21,0.75,0.83,20.37
04-04-2021,36.05,72.05,12.31,95.89,0.77,0.02,14.5
05-04-2021,34.54,54.77,10.78,59.43,0.64,0.02,11.73
06-04-2021,26.05,52.47,10.67,40.68,0.65,0.02,11.74
07-04-2021,39.66,None,14.41,87.49,0.68,0.02,10.06
08-04-2021,33.04,35.8,10.16,74.17,0.74,0.02,9.83
09-04-2021,29.76,30.6,10.07,78.78,0.78,0.02,12.39
10-04-2021,33.98,None,11.69,58.81,0.83,0.02,14.78
11-04-2021,38.43,None,7.68,0.05,0.58,0.02,8.27
12-04-2021,37.67,None,9.13,0.02,0.65,0.02,8.22
13-04-2021,35.49,None,14.04,53.02,0.77,0.02,13.31
14-04-2021,40.66,None,16.14,88.7,0.68,0.02,12.46
15-04-2021,35.29,64.97,8.01,75.38,0.45,0.02,9.42
16-04-2021,None,67.28,9.01,0.01,0.49,0.02,8.2
17-04-2021,None,40.39,8.51,None,0.41,0.02,7.36
18-04-2021,None,92.03,7.61,None,0.36,0.02,7.47
19-04-2021,None,106.38,7.91,None,0.39,0.02,8.95
20-04-2021,None,101.05,6.82,0.01,0.35,0.02,9.3
21-04-2021,None,65.1,6.61,0.02,0.32,0.02,11.09
22-04-2021,None,33.1,6.66,0.01,0.34,0.02,11.06
23-04-2021,None,31.25,6.91,0.01,0.35,0.02,8.6
24-04-2021,None,33.72,8,0.01,0.44,0.02,8.2
25-04-2021,None,34.39,8.46,0.01,0.44,0.02,8.14
26-04-2021,None,116.87,7.64,0.01,0.42,0.02,8.12
27-04-2021,None,244.2,7.17,None,0.49,0.02,8.16
28-04-2021,None,None,None,None,None,None,None
29-04-2021,None,None,None,None,None,None,None
30-04-2021,None,None,None,None,None,None,None
01-05-2021,None,None,None,None,None,None,None
02-05-2021,None,None,None,None,None,None,None
03-05-2021,None,None,None,None,None,None,None
04-05-2021,None,None,None,None,None,None,None
05-05-2021,None,None,None,None,None,None,None
06-05-2021,None,None,None,None,None,None,None
07-05-2021,None,None,None,None,None,None,None
08-05-2021,None,None,None,None,None,None,None
09-05-2021,None,None,None,None,None,None,None
10-05-2021,None,None,None,None,None,None,None
11-05-2021,None,None,None,None,None,None,None
12-05-2021,None,None,None,None,None,None,None
13-05-2021,None,None,None,None,None,None,None
14-05-2021,None,None,None,None,None,None,None
15-05-2021,None,None,None,None,None,None,None
16-05-2021,None,None,None,None,None,None,None
17-05-2021,None,None,None,None,None,None,None
18-05-2021,None,None,None,None,None,None,None
19-05-2021,None,None,None,None,None,None,None
20-05-2021,None,None,None,None,None,None,None
21-05-2021,117.7,90.38,15.86,19.41,0.93,14.6,57.3
22-05-2021,76.35,151.05,14.85,13.8,0.82,16.55,28.79
23-05-2021,39.08,148.61,9.56,12.26,0.6,17.03,21.19
24-05-2021,32.05,143.88,9.79,6.63,0.39,16.8,18.46
25-05-2021,29.63,140.93,9.5,3.84,0.3,16.38,18.39
26-05-2021,31.1,141.81,9.5,0.82,0.25,16.47,18.16
27-05-2021,19.87,137.95,8.32,0.29,0.21,16.38,16.58
28-05-2021,None,None,None,None,None,None,None
29-05-2021,None,None,None,None,None,None,None
30-05-2021,None,None,None,None,None,None,None
31-05-2021,None,None,None,None,None,None,None
01-06-2021,None,None,None,None,None,None,None
02-06-2021,None,None,None,None,None,None,None
03-06-2021,None,None,None,None,None,None,None
04-06-2021,None,None,None,None,None,None,None
05-06-2021,None,None,None,None,None,None,None
06-06-2021,None,None,None,None,None,None,None
07-06-2021,None,None,None,None,None,None,None
08-06-2021,None,None,None,None,None,None,None
09-06-2021,None,None,None,None,None,None,None
10-06-2021,None,None,None,None,None,None,None
11-06-2021,None,None,None,None,None,None,None
12-06-2021,5.57,120,8.3,0.01,0.67,16.06,21.83
13-06-2021,10.28,25.01,9.77,None,0.49,15.82,105.23
14-06-2021,12.48,27.81,10.34,None,0.35,15.74,119.52
15-06-2021,21.91,52.64,8.6,4.93,0.33,15.73,83.05
16-06-2021,16.9,36.26,7.15,None,0.35,15.91,30.34
17-06-2021,14.31,35.05,7.43,0.48,0.35,15.89,33.01
18-06-2021,33.22,82.89,6.63,16.73,0.48,15.68,30.19
19-06-2021,33.33,91.77,6.65,23.46,0.27,15.61,29.14
20-06-2021,24.92,57.95,10.8,8.49,0.55,15.69,26.36
21-06-2021,44.27,144.37,5.02,4.1,0.37,15.78,18.87
22-06-2021,37.02,116.47,7.37,None,0.39,16.01,14.75
23-06-2021,24.41,77.71,6.1,None,0.42,16.11,14.29
24-06-2021,22.73,70.15,5.76,None,0.44,16.06,18.57
25-06-2021,27.75,54.73,6.61,4.05,0.51,16.07,15.11
26-06-2021,16.55,46.08,8.63,10.99,0.66,16,13.72
27-06-2021,20.12,68.57,7.54,11.71,0.89,15.93,13.4
28-06-2021,17.45,57.45,9.47,5.58,0.35,16.14,8.73
29-06-2021,19.87,23.19,12.97,24.3,0.99,16.15,30.17
30-06-2021,14.43,35.75,0.96,16.9,0.71,16.14,131.75
01-07-2021,None,33.51,9.98,16.34,0.5,16.14,58.85
02-07-2021,None,52.11,8.07,24.4,0.71,16.15,12.96
03-07-2021,None,56.95,8.36,21.29,0.62,16.13,10.94
04-07-2021,20.04,46.55,7.89,19.89,0.43,15.94,13.61
05-07-2021,18.82,43.18,8.78,13.66,0.35,16.04,10.5
06-07-2021,21.87,59.77,9.47,14.73,0.38,16.11,11.72
07-07-2021,23.09,61.01,10.01,10.51,0.37,16.03,10.42
08-07-2021,24.38,63.1,9.76,9.79,0.41,15.92,10.42
09-07-2021,19.51,38.67,10.04,12.06,0.45,16.04,11.73
10-07-2021,22.52,38.42,14.58,15.47,0.61,16.07,11.24
11-07-2021,17.54,25.52,12.53,13.99,0.52,16,12.67
12-07-2021,13.41,16.4,9.54,7.86,0.49,15.96,11.09
13-07-2021,13.59,24.88,10.22,14.66,0.67,15.97,12.16
14-07-2021,16.01,28.2,8.29,11.88,0.57,15.75,14.78
15-07-2021,13.53,19.73,8.87,8.9,0.83,15.93,13.68
16-07-2021,11.81,20.01,9.93,14.89,0.71,12.07,14.11
17-07-2021,15.73,24.45,8.87,9.87,0.5,0.18,14.14
18-07-2021,14.64,25.31,8.32,7.44,0.66,0.38,14.84
19-07-2021,17.44,39.22,8.36,29.96,0.69,0.44,22.09
20-07-2021,21.54,49.72,8.55,7.57,0.64,0.54,16.56
21-07-2021,20.9,50.05,7.35,3.77,0.62,0.56,18.38
22-07-2021,22.25,50.24,7.43,6.39,0.57,0.43,25.08
23-07-2021,30.56,64.89,7.18,6.48,0.68,0.6,49.32
24-07-2021,29.77,52.12,7.16,6.77,1.01,0.44,38.99
25-07-2021,26.54,46.72,6.17,6.78,0.81,0.32,30.4
26-07-2021,27.89,49.07,7.45,5.71,0.65,0.42,26.25
27-07-2021,30.44,53.79,8.31,4.55,0.67,0.51,23.08
28-07-2021,24.6,43.08,7.46,5.63,0.64,0.49,21.41
29-07-2021,24.22,44.81,7.41,5.85,0.58,0.33,20.15
30-07-2021,26.11,48.37,9.23,4.13,0.75,0.44,16.78
31-07-2021,24.96,47.03,8.39,4.33,0.64,0.34,15.53
01-08-2021,23.11,41.84,7.58,3.95,0.71,0.43,17.27
02-08-2021,18.93,41.35,7.73,7,0.7,0.42,18.04
03-08-2021,19.13,39.33,8.01,5.79,0.74,0.29,13.07
04-08-2021,18.26,32.71,7.47,23.51,0.71,0.26,13.05
05-08-2021,21.89,40.74,7.37,22.34,0.67,0.29,11.23
06-08-2021,24.09,45.66,6.84,15.2,0.6,0.37,9.87
07-08-2021,26.72,53.14,6.54,None,None,None,14.16
08-08-2021,30.8,56.94,7.4,18.12,1.58,0.32,26.47
09-08-2021,28.32,47.9,6.48,15.64,0.95,0.29,24.01
10-08-2021,26.06,41.81,7.41,14.52,1.26,0.28,27.13
11-08-2021,26.29,41.68,7.19,15.54,1.55,0.26,24.96
12-08-2021,20.89,32.26,7.48,16.11,1.22,0.15,28.03
13-08-2021,23.95,43.01,6.61,18.7,1.79,0.27,27.19
14-08-2021,23.46,41.73,7.22,15.9,0.96,0.33,25.54
15-08-2021,19.94,31.39,6.6,15.53,1.01,2.01,24.15
16-08-2021,17.33,30.63,6.44,32.78,2.05,1.2,27.33
17-08-2021,21.28,32.86,8.42,39.55,1.69,0.26,26.64
18-08-2021,20.35,33.1,6.47,40.59,1.37,0.06,24.06
19-08-2021,21.72,27.38,7.22,39.05,1.71,1.18,20.99
20-08-2021,17.84,24.04,7.53,39.75,1.37,6.48,38.82
21-08-2021,17.6,22.74,7.37,37.98,1.07,4.79,27.34
22-08-2021,14.03,17.99,6.83,31.84,0.72,1.39,19.69
23-08-2021,15.99,21.54,5.46,21.6,0.65,4.13,16.54
24-08-2021,18.46,33.02,5.54,16.19,0.63,7.52,13.92
25-08-2021,17.32,27.08,6.28,22.65,0.7,10.44,22.1
26-08-2021,16.59,26.08,7.03,20.28,0.71,11.7,19.93
27-08-2021,12.68,22.7,5.61,18.92,0.66,16.27,19.05
28-08-2021,14.18,27.37,5.91,15.73,0.62,15.57,21.16
29-08-2021,23.36,54.76,6.36,16.09,0.64,14.14,23.59
30-08-2021,26.63,57.25,6.45,14.26,0.65,16.18,18.22
31-08-2021,20.93,54.75,6.74,14.45,0.69,15.29,18.45
01-09-2021,14.15,29.61,7.13,11.85,0.68,16.41,12.83
02-09-2021,12.02,25,7.22,19.44,1.85,14.56,23.35
03-09-2021,7.66,18.08,5.98,20.15,0.88,14.04,29.25
04-09-2021,10.43,21.88,6.08,21.32,1.36,15.76,46.84
05-09-2021,11.29,25.51,6.58,20.45,1.08,14.8,29.94
06-09-2021,13.56,33.73,6.37,18.75,1.13,16.48,32.74
07-09-2021,12.5,29.75,5.93,15.88,0.78,16.48,14.1
08-09-2021,9.47,19.26,7.81,16.3,1,16.66,19.42
09-09-2021,7.26,13.21,6.64,19.61,0.71,16.62,23.8
10-09-2021,11.36,20.58,5.73,14.28,0.82,16.44,14.45
11-09-2021,10.52,28.03,5.8,19.21,1.4,15.94,15.25
12-09-2021,9.82,28.21,6.55,25.58,1.61,16.37,16.64
13-09-2021,7.47,14.6,6.64,22.22,0.83,16.51,16.65
14-09-2021,13.51,45.25,9,21.06,2.11,16.4,15.82
15-09-2021,22.49,74.83,5.9,21.21,1.5,16.4,14.33
16-09-2021,20.63,66.22,6.09,20.95,1.41,16.52,14.12
17-09-2021,19.47,56.84,5.59,17.06,0.69,16.49,13.18
18-09-2021,16.8,44.39,5.95,16.43,1.29,16.05,13.3
19-09-2021,12.06,33.23,5.61,26.15,1.01,16.34,13.61
20-09-2021,None,None,None,None,None,None,None
21-09-2021,9.81,23.67,5.79,24.21,1.52,16.3,11.68
22-09-2021,10.31,16.93,5.53,28.16,1.39,16.37,12.12
23-09-2021,9.34,23.98,5.55,28.19,1.28,16.41,11.53
24-09-2021,17.67,37.85,5.93,24.13,1.15,16.34,12.07
25-09-2021,13.72,37.13,5.82,21.44,1.57,16.38,11.4
26-09-2021,16.49,36.01,5.56,22.98,1.18,15.72,12.33
27-09-2021,14.02,37.22,5.83,19.93,0.79,16.56,10.39
28-09-2021,10.83,19.8,5.71,13.28,0.74,16.58,8.73
29-09-2021,8.92,18.43,5.71,23.34,1.83,9.42,11.48
30-09-2021,8.47,17.78,5.48,22.32,0.8,15.26,11.2
01-10-2021,10.18,23.27,5.5,20.09,2.13,16.1,11.07
02-10-2021,20.42,54.68,5.37,20.09,1.1,15.96,9.6
03-10-2021,26.59,81.13,6.36,27.91,1.5,16.61,9.42
04-10-2021,35.72,58.57,7.36,45.89,1.97,16.38,11.9
05-10-2021,37.13,62.04,7.86,44.81,3.11,16.29,10.72
06-10-2021,29.87,58.1,7.69,67.72,2.93,16.43,11.8
07-10-2021,32.23,56.77,7.46,50.13,2.06,16.47,13.02
08-10-2021,34.3,47.9,6.44,3.59,1.93,16.42,12.05
09-10-2021,17.17,28.79,5.04,2.2,0.99,16.62,10.98
10-10-2021,10.17,23.36,5.17,5.96,0.94,16.52,12.84
11-10-2021,12.03,35.87,5.6,22.17,1.18,16.58,14.63
12-10-2021,26.56,60.13,5.87,24.3,0.96,16.6,12.47
13-10-2021,34.55,65.95,6.98,17.01,0.8,16.5,12.7
14-10-2021,44.93,80.02,7.02,10.58,0.87,16.67,12.57
15-10-2021,77.46,140.78,7.64,9.28,1.07,16.39,11.9
16-10-2021,71.25,148.81,8.57,6.09,1.12,16.48,9.16
17-10-2021,51.53,118.85,8.76,1.96,0.88,16.4,8.47
18-10-2021,60.5,146.88,8.49,3.12,1.02,16.4,8.39
19-10-2021,28.19,85.51,6.41,0.9,0.68,16.61,8.13
20-10-2021,28.73,71.79,6.48,1.16,0.7,16.65,8.11
21-10-2021,31.4,67.36,7.76,0.1,0.73,16.62,7.94
22-10-2021,45.7,None,8.61,0.11,0.88,16.43,7.87
23-10-2021,63.39,None,9.86,0.28,1.14,16.38,7.87
24-10-2021,32.1,None,7.02,0.11,0.76,16.47,7.72
25-10-2021,14.55,None,6.77,0.11,0.66,16.66,7.6
26-10-2021,15.72,52.75,6.74,0.1,0.7,16.7,7.72
27-10-2021,55.33,98.28,7.9,6.85,1.27,16.48,10.26
28-10-2021,59.09,115.1,7.87,9.62,1.3,16.49,10.28
29-10-2021,69.11,118.25,9.05,16.02,2.23,16.43,10.81
30-10-2021,62.62,122.15,11.58,16.92,2.14,16.34,11.98
31-10-2021,63.44,125.63,11.73,19.09,1.43,16.4,11.78
01-11-2021,69.24,141.28,11.46,20.92,1.17,16.3,11.04
02-11-2021,91.54,176.17,11.68,17.39,1.33,16.35,9.83
03-11-2021,100.67,193.14,11.63,27.96,3.05,16.24,12.55
04-11-2021,80.23,148.18,12.32,36.47,1.95,16.39,11.39
05-11-2021,82.62,129.45,11.59,27.36,2.36,16.35,12.03
06-11-2021,75.56,129.71,9.96,1.71,1.51,16.39,10.85
07-11-2021,31.91,63.12,7.72,None,0.94,16.64,8.91
08-11-2021,46.92,85.89,8.08,7.81,1.21,16.37,8.95
09-11-2021,74.52,113.88,7.58,54.69,2.58,16.28,12.81
10-11-2021,85.64,139.31,9.17,63.67,2.63,16.41,13.69
11-11-2021,80.62,164.64,10.81,57.27,1.68,16.31,11.54
12-11-2021,84.11,None,11.85,48.12,1.81,16.27,9.76
13-11-2021,82.03,140.72,10.55,64.65,2.4,16.2,14.46
14-11-2021,88.11,149.85,10.01,56.64,2.68,16.26,17.14
15-11-2021,97.2,156.27,10.13,56.46,2.86,16.33,14.9
16-11-2021,95.59,159.23,7.69,57.3,2.44,16.52,14.05
17-11-2021,89.7,149.78,8.99,49.83,2.31,16.4,13.08
18-11-2021,46.22,74.3,7,52.09,2.25,16.49,13.23
19-11-2021,22.52,42.34,6.63,52.78,1.64,16.49,12.95
20-11-2021,43.12,86.63,7.68,47.18,1.02,16.4,10.65
21-11-2021,51.19,93.71,7.45,50.38,1.44,16.25,10.92
22-11-2021,13.06,28.19,6.5,45.28,0.2,16.36,10.32
23-11-2021,15.96,38.07,5.82,39.29,0.61,16.4,9.72
24-11-2021,30.64,59.88,6.77,35.72,0.35,16.46,9.54
25-11-2021,57.89,99.71,7.12,34.69,0.55,16.44,10
26-11-2021,66.46,116.12,8.74,36.11,0.72,16.36,10.33
27-11-2021,72.29,130.09,9.35,36.97,1.02,16.39,10.28
28-11-2021,75.34,126.64,8.33,38.82,0.82,16.36,10.92
29-11-2021,63.01,122.01,8.45,31.43,0.67,16.46,8.59
30-11-2021,53.16,98.94,9.59,30.93,0.56,16.41,8.84
01-12-2021,66.62,129.52,9.85,30.6,0.58,16.33,8.75
02-12-2021,55.26,95.41,10.71,30.52,0.69,16.38,8.59
03-12-2021,27.46,50.33,8.03,28.04,0.54,16.5,8.4
04-12-2021,38.31,74.23,6.83,33.93,1.57,16.53,8.76
05-12-2021,42.51,87.15,7.04,31.47,0.76,16.54,8.58
06-12-2021,29.85,68.41,6.68,29.92,0.6,16.61,8.11
07-12-2021,70.32,126.28,7.8,21.04,0.9,16.41,9.11
08-12-2021,88.5,152.73,9.77,15.08,1.51,16.55,10.42
09-12-2021,92.89,155.96,9.81,14.69,1.56,16.51,10.29
10-12-2021,82.56,143.71,8.63,14.69,0.89,16.42,9.73
11-12-2021,84.15,156.35,9.19,16.15,1,16.32,9.32
12-12-2021,75.45,153.83,8.53,None,None,None,9.59
13-12-2021,72.86,153.9,8.23,20.19,0.93,16.53,8.69
14-12-2021,63.68,132.24,8.12,22.14,0.84,16.55,9.11
15-12-2021,69.52,130.38,7.49,20.88,0.72,16.53,9.61
16-12-2021,78.7,142.4,7.57,22.62,0.77,16.55,10.86
17-12-2021,104.36,182.69,8.81,20,0.99,16.22,9.18
18-12-2021,103.05,182.7,9.75,22.19,1.07,16.48,9.31
19-12-2021,101.69,185.81,10.16,26.25,1.15,16.53,9.64
20-12-2021,78.44,151.43,9.48,27.26,0.96,16.47,9.1
21-12-2021,83.86,147.46,9.95,22.88,0.89,16.42,8.95
22-12-2021,89.68,173.24,10.18,23.56,1.02,16.41,9.41
23-12-2021,91.07,178.95,10.58,19.12,1.1,16.18,8.61
24-12-2021,72.52,143.33,9.78,19.95,0.94,16.21,8.4
25-12-2021,41.46,93.52,9.21,23.69,0.68,16.35,8.25
26-12-2021,46.23,89.63,8.52,16.35,0.63,16.51,8.22
27-12-2021,73.71,142.78,9.9,14.9,0.86,16.13,8.11
28-12-2021,75.62,151.21,11.02,15.69,1.06,16.27,8.08
29-12-2021,77.48,158.04,9.73,23.11,1.04,16.31,8.04
30-12-2021,47.51,101.33,9.16,15.21,0.76,16.17,8.01
31-12-2021,58.5,124.62,11.15,12.21,0.87,16.1,8.04
01-01-2022,55.74,116.56,10.66,10.5,0.72,16.32,8.02
02-01-2022,52.26,111.27,8.5,22.33,0.77,16.18,8.5
03-01-2022,56.66,120.21,9.35,23.32,0.9,16.53,8.49
04-01-2022,61.15,123.23,9.06,26.14,0.98,16.37,8.65
05-01-2022,86.9,154.63,12.13,30.55,1.25,16.23,9.28
06-01-2022,74.61,151.99,9.69,32.57,1.09,16.27,8.45
07-01-2022,57.19,119.26,8.02,41.23,0.82,16.34,8.19
08-01-2022,65.78,140.44,8.08,41.1,0.86,16.59,8.36
09-01-2022,33.4,73.8,7.38,39.38,0.57,16.41,8.39
10-01-2022,22.63,60.15,7.16,42.99,0.54,16.57,8.06
11-01-2022,28.6,72.19,8.56,30.94,0.68,17.14,7.8
12-01-2022,48.51,105.82,11.21,0.1,0.79,16.64,8.75
13-01-2022,41.95,97.1,10.26,5.57,0.78,16.64,8.83
14-01-2022,None,None,None,None,None,None,None
15-01-2022,69.65,132.65,10.97,13.78,0.89,16.42,9.26
16-01-2022,64.67,125.89,9.87,20.37,0.93,17.06,9.07
17-01-2022,61.29,119.21,11.18,19.79,0.91,16.71,9.43
18-01-2022,68.1,134.03,9.96,10.06,0.94,16.61,9.37
19-01-2022,71.82,138.35,9.92,2.46,1.02,16.61,8.36
20-01-2022,75.16,149.04,10.63,1.96,1.05,16.73,8.31
21-01-2022,44.08,88.24,7.46,1.79,0.75,16.44,8.16
22-01-2022,52.55,108.87,7.65,6.82,0.73,16.98,8.68
23-01-2022,36.25,84.2,6.01,7.34,0.6,17.22,8.49
24-01-2022,272.76,543.83,5.85,None,0.42,16.3,8.15
25-01-2022,147.68,334.41,7.33,2.28,0.53,16.09,7.98
26-01-2022,130.28,274.2,8.37,8.62,0.8,16.29,9.28
27-01-2022,105.79,221.07,8.51,3.55,0.79,16.09,9.02
28-01-2022,100.31,209.61,9.46,7.55,1.08,16.04,9.27
29-01-2022,67.3,143.18,17.48,17.63,0.6,0.13,10.95
30-01-2022,70.44,143.99,23.03,6.72,0.64,0.41,11.21
31-01-2022,None,None,None,None,None,None,None
01-02-2022,79.31,147.06,37.37,5.33,0.82,0.76,18.6
02-02-2022,62.84,123.13,42.24,3.85,0.72,1.71,14.56
03-02-2022,78.19,141.36,33.96,3,0.74,1.92,15.64
04-02-2022,59.01,116.42,24.43,8.62,0.85,1.2,15.78
05-02-2022,87.66,200.6,17.94,8.39,0.34,0.73,16.41
06-02-2022,121.42,276.93,46.24,9.47,0.64,0.83,15.39
07-02-2022,97.63,246.22,36.04,9.76,0.67,0.57,17.13
08-02-2022,61.02,147.34,18.52,2.87,0.47,0.44,17.1
09-02-2022,36.99,97.75,25.61,2.41,0.44,1.23,16.23
10-02-2022,48.82,107.69,31.07,3.56,0.56,0.96,15.63
11-02-2022,60.66,149.41,39.36,7.98,0.73,0.06,16.85
12-02-2022,61.91,159.53,46.23,7.93,0.7,1.04,15.88
13-02-2022,66.88,136.12,43.91,5.8,0.75,0.4,13.59
14-02-2022,64.5,154.54,46.24,5.98,0.94,0.04,14.46
15-02-2022,47.18,115.02,43.29,2.83,0.77,1.22,15.15
16-02-2022,28.91,73.44,15.84,1.51,0.42,1.31,15.23
17-02-2022,31.84,81.77,24.17,6.15,0.46,1.9,14.7
18-02-2022,31.46,71.14,27.64,7.66,0.54,1.87,15.09
19-02-2022,46.7,102.3,30.4,6.75,0.67,1.99,14.46
20-02-2022,63.21,144.93,35.82,11.29,0.82,1.6,15.51
21-02-2022,47.69,101.74,28.95,6.73,0.63,1.43,16.4
22-02-2022,53.85,139.28,40.55,3.68,0.85,1.8,15.91
23-02-2022,51.43,124.65,27.78,9.52,0.52,2.73,13.7
24-02-2022,50.69,123.18,32.94,5.84,0.83,2.41,14.49
25-02-2022,64.96,135.87,30.01,4.09,0.74,2.69,15.2
26-02-2022,98.71,218.98,34.84,9.05,0.85,2.57,17.52
27-02-2022,84.06,177.44,34.4,4.41,0.72,2.43,14.82
28-02-2022,63.35,147.36,35.35,2.18,0.67,2.43,13.52
01-03-2022,81.46,174.05,35.36,9.12,0.7,2.68,15.29
02-03-2022,86.19,169.83,36.27,5.28,0.77,2.55,14.94
03-03-2022,97.63,191.35,38,4.55,0.87,2.8,14.66
04-03-2022,79.88,178.34,41.9,8.28,0.92,2.66,15.03
05-03-2022,60.83,153.95,43.09,8.33,0.83,2.59,13.99
06-03-2022,74.36,168.79,50.78,9.98,0.97,2.12,14.81
07-03-2022,78.85,166.98,48.35,8.59,1.04,1.94,15.02
08-03-2022,74.8,142.2,30.14,8.22,0.97,3.15,16.23
09-03-2022,95.97,182.71,44.67,22.99,1.02,1.51,17.41
10-03-2022,99.04,175.59,48.36,25.31,1.21,1.79,13.7
11-03-2022,89.9,190.13,42.05,20.98,1.13,1.86,11.96
12-03-2022,79.82,181.97,40.86,12.17,1.13,2.85,16.88
13-03-2022,64.39,126.75,45.79,20.26,0.93,2.74,20.43
14-03-2022,75.58,167.24,40.2,17.17,1.07,2.92,25.74
15-03-2022,63.53,145.34,34.62,19.66,0.76,2.35,20.18
16-03-2022,93.48,198.98,48.26,21.44,1.09,2.78,18.34
17-03-2022,70.07,136.94,31.31,16.3,0.88,2.61,17.75
18-03-2022,71.38,142.93,26.68,41.24,0.83,2.4,20.16
19-03-2022,64.39,132.55,17.36,21.81,0.91,2.87,14.93
20-03-2022,39.58,83.94,14.57,35.15,0.73,2.97,16.51
21-03-2022,43.8,101.51,12.44,29.35,0.54,2.88,15.91
22-03-2022,68.12,162.16,18.11,29.91,0.66,2.8,16.15
23-03-2022,66.1,139.28,24.13,40.53,0.69,2.84,19.21
24-03-2022,71.43,177.62,31.81,35.89,0.76,2.76,17.35
25-03-2022,63.23,160.34,17.29,21.56,0.68,2.75,14.49
26-03-2022,39.48,118.96,25.15,20.11,0.62,2.93,14.41
27-03-2022,33.03,92.8,13.84,17.34,0.53,3.07,15.02
28-03-2022,38.49,102.68,14.67,16.91,0.54,2.87,14.13
29-03-2022,40.13,97.81,11.74,15.07,0.5,2.99,16.46
30-03-2022,52.07,113.1,14.16,21.47,0.66,2.83,21.87
31-03-2022,44.89,105.47,15.43,14.72,0.5,2.95,17.32
01-04-2022,38.26,114.22,12.01,10.59,0.52,2.84,13.04
02-04-2022,97.15,283.59,12.23,10.28,0.64,2.99,10.44
03-04-2022,89.72,230.34,11.19,8.51,0.51,2.73,16.19
04-04-2022,62.41,183.84,10.8,5.75,0.5,2.8,17.76
05-04-2022,45.4,133.59,10.58,6.65,0.51,2.85,19.53
06-04-2022,34.31,98.83,9.01,8.97,0.52,2.71,21.52
07-04-2022,28.45,91.31,9.12,6.39,0.52,2.78,17.49
08-04-2022,24.41,79.34,12.41,6.66,0.54,2.96,16.08
09-04-2022,28.17,83.31,11.03,11.55,0.64,2.71,14.99
10-04-2022,28.93,61.4,8.64,12.2,0.54,3.23,20.33
11-04-2022,29.43,63.28,8.57,None,None,None,14.76
12-04-2022,31.61,71.77,12.73,13.68,0.08,2.19,18.89
13-04-2022,41.82,102.81,21.06,14.38,0.25,2.41,16.75
14-04-2022,47.03,112.81,15.03,12.92,0.17,2.14,12.55
15-04-2022,31.25,70.01,10.48,12.09,0.09,2.31,20.44
16-04-2022,31,72.91,9.11,9.9,0.08,2.44,16.74
17-04-2022,40.32,87.28,11.65,8.31,0.08,2.55,12.69
18-04-2022,28.85,76.7,9.56,6.13,0.04,2.5,11.57
19-04-2022,27.79,71.81,9.83,5.7,0.05,2.62,12.61
20-04-2022,37.68,83.43,10.09,12.72,0.09,2.76,22.11
21-04-2022,36.6,80.76,10.46,17.03,0.12,2.19,16.96
22-04-2022,54.6,117.55,21.09,19.35,0.37,1.43,26.53
23-04-2022,56.81,114.77,17.09,15.02,0.32,2.67,13.32
24-04-2022,56.7,110.79,17.29,None,None,None,28.79
25-04-2022,33.32,75.79,10.34,None,None,None,22.33
26-04-2022,49.07,113.07,20.26,17.46,0.66,1.09,17.95
27-04-2022,32.92,68.51,13,18.56,0.44,1.49,25.76
28-04-2022,34.79,79.85,15.35,20.94,0.23,2.27,28.57
29-04-2022,32.7,82.01,14.55,19.38,0.12,1.67,21.96
30-04-2022,27.15,67.2,11.28,20.35,0.05,1.82,19.05
01-05-2022,26.3,57.66,11.57,24.6,0.13,2.38,28.85
02-05-2022,18.72,47.2,8.94,22.39,0.09,1.99,21.71
03-05-2022,23.67,62.6,9.24,21.78,0.1,2.38,22.87
04-05-2022,34.77,80.4,7.88,11.45,0.09,1.95,17.45
05-05-2022,41.57,98.63,9.76,14.88,0.08,1.85,18.87
06-05-2022,40.67,97.13,9.31,13.05,0.03,2,19.9
07-05-2022,72.07,167.46,9.56,11.44,0.03,2.06,21.31
08-05-2022,85.48,189.28,8.46,8.48,0,14.79,18.16
